Nom,Nombre de parties gagnées,Pourcentage de parties gagnées(%),Nombre d'égalités,Pourcentage d'égalités(%),Nombre de parties perdues,Pourcentage de parties perdues(%),Score moyen
Stacy,589,58.899998,69,6.8999996,342,34.2,21.979
Nora,76,7.6,28,2.8000002,896,89.600006,15.784
Sara,138,13.799999,29,2.8999999,833,83.3,16.847
Alban,115,11.5,38,3.8,847,84.7,17.038
RobotDiscret1,225,22.5,44,4.4,731,73.1,22.488
RobotDiscret2,205,20.5,45,4.5,750,75.0,22.424
RobotDiscret3,251,25.099998,45,4.5,704,70.4,22.491
RobotDiscret4,231,23.1,44,4.4,725,72.5,22.534
Stacy,579,57.9,52,5.2000003,369,36.899998,22.001
Nora,62,6.2,23,2.3,915,91.5,15.279
Sara,147,14.7,28,2.8000002,825,82.5,17.292
Alban,146,14.599999,31,3.1,823,82.3,17.584
RobotDiscret1,239,23.9,37,3.7,724,72.399994,22.751
RobotDiscret2,223,22.300001,51,5.1,726,72.6,22.49
RobotDiscret3,241,24.1,49,4.9,710,71.0,22.563
RobotDiscret4,209,20.900002,40,4.0,751,75.1,22.086
Stacy,492,49.2,54,5.4,454,45.4,21.485
Nora,76,7.6,31,3.1,893,89.3,15.521
Sara,172,17.2,40,4.0,788,78.799995,17.776
Alban,186,18.6,27,2.7,787,78.7,18.288
RobotDiscret1,239,23.9,36,3.6,725,72.5,22.532
RobotDiscret2,224,22.400002,50,5.0,726,72.6,22.563
RobotDiscret3,231,23.1,47,4.7,722,72.2,22.374
RobotDiscret4,223,22.300001,38,3.8,739,73.9,22.518
Stacy,515,51.5,50,5.0,435,43.5,21.541
Nora,70,7.0,24,2.4,906,90.6,15.343
Sara,176,17.6,27,2.7,797,79.7,17.516
Alban,175,17.5,30,3.0,795,79.5,17.981
RobotDiscret1,233,23.3,34,3.4,733,73.299995,22.363
RobotDiscret2,245,24.5,44,4.4,711,71.100006,22.738
RobotDiscret3,239,23.9,37,3.7,724,72.399994,22.501
RobotDiscret4,212,21.199999,32,3.2,756,75.6,22.437
Stacy,488,48.8,45,4.5,467,46.7,22.869
Richardo,195,19.5,35,3.5,770,77.0,19.882
Sara,144,14.4,24,2.4,832,83.200005,18.313
Alban,111,11.1,26,2.6000001,863,86.299995,18.059
RobotDiscret1,207,20.7,46,4.6,747,74.7,22.167
RobotDiscret2,219,21.9,42,4.2,739,73.9,22.296
RobotDiscret3,240,24.0,55,5.5,705,70.5,22.523
RobotDiscret4,239,23.9,54,5.4,707,70.700005,22.508
Stacy,522,52.2,49,4.9,429,42.899998,23.209
Richardo,155,15.5,37,3.7,808,80.8,18.849
Sara,138,13.799999,32,3.2,830,83.0,17.587
Alban,114,11.4,33,3.3,853,85.299995,17.786
RobotDiscret1,250,25.0,51,5.1,699,69.9,22.574
RobotDiscret2,214,21.4,40,4.0,746,74.6,22.334
RobotDiscret3,217,21.699999,42,4.2,741,74.1,22.558
RobotDiscret4,238,23.800001,36,3.6,726,72.6,22.518
Stacy,582,58.2,55,5.5,363,36.3,23.727
Richardo,127,12.700001,50,5.0,823,82.3,18.335
Sara,114,11.4,25,2.5,861,86.1,17.621
Alban,104,10.400001,20,2.0,876,87.6,17.321
RobotDiscret1,248,24.8,33,3.3,719,71.9,22.31
RobotDiscret2,229,22.9,45,4.5,726,72.6,22.154
RobotDiscret3,219,21.9,39,3.9,742,74.2,22.282
RobotDiscret4,225,22.5,48,4.8,727,72.7,22.324
Stacy,433,43.3,51,5.1,516,51.6,22.094
Richardo,127,12.700001,24,2.4,849,84.899994,16.879
Sara,267,26.699999,46,4.6,687,68.7,20.302
Alban,100,10.0,29,2.8999999,871,87.1,17.7
RobotDiscret1,220,22.0,54,5.4,726,72.6,22.496
RobotDiscret2,231,23.1,52,5.2000003,717,71.7,22.412
RobotDiscret3,224,22.400002,55,5.5,721,72.1,22.376
RobotDiscret4,215,21.5,64,6.4,721,72.1,22.401
Stacy,489,48.899998,53,5.2999997,458,45.8,22.806
Richardo,179,17.9,38,3.8,783,78.3,19.236
Sara,149,14.900001,31,3.1,820,82.0,18.306
Alban,108,10.8,31,3.1,861,86.1,17.97
RobotDiscret1,218,21.8,43,4.3,739,73.9,22.427
RobotDiscret2,221,22.1,43,4.3,736,73.6,22.469
RobotDiscret3,227,22.7,50,5.0,723,72.299995,22.53
RobotDiscret4,245,24.5,49,4.9,706,70.6,22.551
Stacy,539,53.899998,47,4.7,414,41.4,23.177
Richardo,149,14.900001,26,2.6000001,825,82.5,18.693
Sara,140,14.0,27,2.7,833,83.3,17.974
Alban,110,11.0,27,2.7,863,86.299995,17.856
RobotDiscret1,234,23.4,44,4.4,722,72.2,22.743
RobotDiscret2,231,23.1,43,4.3,726,72.6,22.331
RobotDiscret3,236,23.6,48,4.8,716,71.6,22.568
RobotDiscret4,210,21.0,50,5.0,740,74.0,22.555
Stacy,478,47.8,58,5.7999997,464,46.399998,22.451
Richardo,87,8.7,30,3.0,883,88.3,16.618
Sara,263,26.300001,53,5.2999997,684,68.4,20.229
Alban,87,8.7,34,3.4,879,87.9,17.486
RobotDiscret1,234,23.4,43,4.3,723,72.299995,22.841
RobotDiscret2,230,23.0,35,3.5,735,73.5,22.653
RobotDiscret3,245,24.5,50,5.0,705,70.5,22.793
RobotDiscret4,207,20.7,46,4.6,747,74.7,22.215
Stacy,522,52.2,51,5.1,427,42.699997,23.007
Richardo,136,13.6,41,4.1,823,82.3,18.749
Sara,152,15.2,30,3.0,818,81.8,18.312
Alban,117,11.7,27,2.7,856,85.6,17.668
RobotDiscret1,240,24.0,44,4.4,716,71.6,22.572
RobotDiscret2,239,23.9,41,4.1,720,72.0,22.494
RobotDiscret3,220,22.0,43,4.3,737,73.7,22.116
RobotDiscret4,220,22.0,41,4.1,739,73.9,22.286
Stacy,501,50.1,39,3.9,460,46.0,22.771
Richardo,91,9.099999,20,2.0,889,88.9,16.718
Sara,243,24.3,40,4.0,717,71.7,19.825
Alban,109,10.9,17,1.7,874,87.4,17.479
RobotDiscret1,230,23.0,48,4.8,722,72.2,22.674
RobotDiscret2,228,22.8,52,5.2000003,720,72.0,22.332
RobotDiscret3,219,21.9,50,5.0,731,73.1,22.454
RobotDiscret4,232,23.199999,38,3.8,730,73.0,22.479
Stacy,470,47.0,72,7.2,458,45.8,22.334
Richardo,101,10.1,25,2.5,874,87.4,16.514
Sara,233,23.3,52,5.2000003,715,71.5,19.915
Alban,107,10.7,35,3.5,858,85.799995,17.551
RobotDiscret1,232,23.199999,35,3.5,733,73.299995,22.629
RobotDiscret2,247,24.699999,42,4.2,711,71.100006,22.751
RobotDiscret3,218,21.8,38,3.8,744,74.4,22.454
RobotDiscret4,230,23.0,38,3.8,732,73.2,22.62
Stacy,546,54.6,50,5.0,404,40.4,23.337
Richardo,120,12.0,35,3.5,845,84.5,18.931
Sara,144,14.4,35,3.5,821,82.1,18.276
Alban,121,12.1,24,2.4,855,85.5,17.892
RobotDiscret1,221,22.1,52,5.2000003,727,72.7,22.344
RobotDiscret2,244,24.4,51,5.1,705,70.5,22.456
RobotDiscret3,227,22.7,39,3.9,734,73.4,22.571
RobotDiscret4,215,21.5,49,4.9,736,73.6,22.379
Stacy,527,52.7,34,3.4,439,43.9,22.844
Richardo,149,14.900001,24,2.4,827,82.700005,18.626
Sara,175,17.5,25,2.5,800,80.0,18.282
Alban,96,9.6,24,2.4,880,88.0,17.856
RobotDiscret1,212,21.199999,44,4.4,744,74.4,22.176
RobotDiscret2,228,22.8,47,4.7,725,72.5,22.421
RobotDiscret3,232,23.199999,41,4.1,727,72.7,22.613
RobotDiscret4,243,24.3,43,4.3,714,71.4,22.528
Stacy,489,48.899998,50,5.0,461,46.1,22.797
Richardo,112,11.200001,21,2.1,867,86.7,17.393
Sara,243,24.3,47,4.7,710,71.0,20.164
Alban,86,8.6,27,2.7,887,88.700005,17.643
RobotDiscret1,227,22.7,39,3.9,734,73.4,22.551
RobotDiscret2,223,22.300001,43,4.3,734,73.4,22.236
RobotDiscret3,218,21.8,47,4.7,735,73.5,22.779
RobotDiscret4,246,24.6,47,4.7,707,70.700005,22.622
Stacy,485,48.5,49,4.9,466,46.6,22.806
Richardo,113,11.3,30,3.0,857,85.7,17.549
Sara,240,24.0,55,5.5,705,70.5,19.953
Alban,83,8.299999,29,2.8999999,888,88.8,17.588
RobotDiscret1,235,23.5,40,4.0,725,72.5,22.619
RobotDiscret2,238,23.800001,45,4.5,717,71.7,22.545
RobotDiscret3,220,22.0,45,4.5,735,73.5,22.375
RobotDiscret4,224,22.400002,40,4.0,736,73.6,22.558
Stacy,501,50.1,51,5.1,448,44.800003,22.995
